file,records,comments,threads,authors,courses,avg_text_length,avg_word_count,avg_votes,educational_comments,educational_percentage,educational_body,educational_title,avg_aspects_per_comment,avg_aspects_body,avg_aspects_title
data/chunks\chunk_0001.json,5000,1965,3035,848,14,368.5198,62.4544,0.1038,3453,69.06,3375,800,0.9556,0.9058,0.0824
data/chunks\chunk_0002.json,5000,2394,2606,1869,29,299.0686,49.4006,0.0314,2867,57.34,2835,183,0.592,0.5572,0.0528
data/chunks\chunk_0003.json,5000,1837,3163,2036,32,269.8004,44.5398,0.0272,3359,67.17999999999999,3295,223,0.5844,0.5516,0.0586
data/chunks\chunk_0004.json,5000,3082,1918,2048,35,244.0228,40.235,0.0306,3578,71.56,3558,132,0.4902,0.4478,0.0506
data/chunks\chunk_0005.json,5000,3181,1819,1530,49,271.4296,45.2802,0.0654,2678,53.559999999999995,2620,276,0.5734,0.545,0.0518
data/chunks\chunk_0006.json,5000,3454,1546,1917,31,252.2624,41.8616,0.0598,3010,60.199999999999996,2978,132,0.4982,0.4876,0.0228
data/chunks\chunk_0007.json,5000,3890,1110,1842,71,263.372,43.856,0.08,3413,68.26,3394,138,0.5934,0.5688,0.0378
data/chunks\chunk_0008.json,5000,3781,1219,2205,73,285.7516,46.886,0.0522,3399,67.97999999999999,3366,129,0.5528,0.5266,0.0388
data/chunks\chunk_0009.json,5000,3581,1419,1707,93,298.5412,49.4498,0.072,3081,61.62,3055,156,0.6452,0.6094,0.0538
data/chunks\chunk_0010.json,5000,4163,837,2479,83,206.6048,34.9536,0.337,2970,59.4,2953,100,0.493,0.4686,0.0318
data/chunks\chunk_0011.json,5000,3856,1144,3237,28,167.8486,28.072,0.0488,3153,63.06,3149,28,0.3288,0.3258,0.0034
data/chunks\chunk_0012.json,5000,2731,2269,3321,28,192.1552,31.9322,0.04,3508,70.16,3501,18,0.385,0.3836,0.0024
data/chunks\chunk_0013.json,5000,3264,1736,3253,29,186.3074,31.115,0.0276,3367,67.34,3363,38,0.3804,0.3758,0.007
data/chunks\chunk_0014.json,5000,3136,1864,3544,30,194.5264,32.336,0.0332,3198,63.959999999999994,3192,38,0.3736,0.37,0.0074
data/chunks\chunk_0015.json,5000,3387,1613,2996,28,182.3608,30.4062,0.032,3014,60.28,3009,45,0.3366,0.3286,0.0136
data/chunks\chunk_0016.json,5000,3119,1881,2973,30,193.7096,32.2412,0.0398,2992,59.84,2979,68,0.3772,0.3704,0.0146
data/chunks\chunk_0017.json,5000,3614,1386,3081,30,196.214,32.7462,0.0392,2796,55.92,2786,62,0.3674,0.3638,0.0112
data/chunks\chunk_0018.json,5000,3713,1287,2888,30,201.6056,33.6482,0.0378,2451,49.02,2435,55,0.3702,0.3654,0.0096
data/chunks\chunk_0019.json,5000,3664,1336,2794,29,238.691,39.9116,0.0374,2301,46.02,2271,88,0.4484,0.4414,0.0156
data/chunks\chunk_0020.json,5000,3592,1408,2862,29,237.7388,39.3418,0.0684,2186,43.72,2150,135,0.4874,0.4738,0.0308
data/chunks\chunk_0021.json,5000,3268,1732,3017,30,288.5012,47.4066,0.0654,2143,42.86,2091,172,0.5632,0.5408,0.0388
data/chunks\chunk_0022.json,5000,3149,1851,2806,27,244.793,41.3584,0.0668,1949,38.98,1868,232,0.527,0.4776,0.0698
data/chunks\chunk_0023.json,5000,2937,2063,2796,30,409.0858,68.3292,0.1012,2436,48.72,2324,322,0.699,0.6448,0.077
data/chunks\chunk_0024.json,5000,3166,1834,2676,29,319.386,53.9402,0.1038,2292,45.839999999999996,2132,401,0.6748,0.6344,0.0708
data/chunks\chunk_0025.json,5000,3082,1918,2530,28,264.9954,45.3968,0.1116,2169,43.38,2101,285,0.632,0.607,0.0524
data/chunks\chunk_0026.json,5000,3014,1986,2427,28,231.342,39.8664,0.1392,2370,47.4,2299,280,0.6338,0.6162,0.0488
data/chunks\chunk_0027.json,5000,3093,1907,2187,30,220.5018,37.7484,0.1096,2564,51.28,2507,280,0.6472,0.6308,0.0494
data/chunks\chunk_0028.json,5000,2331,2669,2701,28,207.483,34.4716,0.0928,2501,50.019999999999996,2459,222,0.503,0.4932,0.0334
data/chunks\chunk_0029.json,5000,3543,1457,2550,57,123.6416,20.4792,0.0708,1937,38.74,1925,48,0.191,0.1868,0.0076
data/chunks\chunk_0030.json,5000,3196,1804,2378,37,179.2058,29.7882,0.052,2068,41.36,2044,100,0.3654,0.333,0.049
data/chunks\chunk_0031.json,5000,2857,2143,2044,37,269.6842,45.251,0.0852,2093,41.86,2004,265,0.6014,0.5338,0.0952
data/chunks\chunk_0032.json,5000,3239,1761,1814,62,181.4986,30.8006,0.1204,2248,44.96,2210,238,0.481,0.4662,0.0386
data/chunks\chunk_0033.json,5000,4050,950,2470,34,154.2422,25.4164,0.062,1844,36.88,1828,39,0.2698,0.263,0.0116
data/chunks\chunk_0034.json,5000,2991,2009,1874,41,307.477,52.2532,0.1186,2207,44.14,2147,256,0.6298,0.5908,0.0666
data/chunks\chunk_0035.json,5000,2981,2019,1717,85,209.8256,35.1976,0.151,1537,30.740000000000002,1459,268,0.4148,0.392,0.0424
data/chunks\chunk_0036.json,5000,3788,1212,1604,135,584.325,88.1552,0.1468,2320,46.400000000000006,2291,174,0.6662,0.6544,0.0318
data/chunks\chunk_0037.json,2500,1817,683,970,62,211.9472,34.9508,0.2404,1104,44.16,1090,101,0.5104,0.502,0.0324
